                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5494,                 2.2834,                 1.7042,                0.71612,                0.29859,                0.31879,                0.21123,                 2.6405,                 2.2192,                 2.5481,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.5645,                 2.2889,                 1.7057,                0.73235,                0.30109,                0.32726,                0.21711,                 2.5979,                 2.2263,                 2.5346,               0.000948,               0.000948,               0.000948
                     36,                 1.5304,                 2.2312,                 1.6871,                0.68057,                0.29447,                0.31911,                0.20899,                 2.6479,                 2.2826,                 2.6244,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.5096,                 2.1758,                 1.6653,                0.74053,                0.29939,                0.31879,                0.21942,                 2.6261,                 2.1854,                 2.5978,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.5224,                  2.244,                 1.6859,                0.68482,                0.30739,                0.32731,                0.22591,                 2.6124,                 2.1763,                  2.596,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.4968,                 2.1649,                  1.656,                0.74519,                0.30055,                0.33096,                 0.2314,                 2.6472,                 2.1367,                 2.6769,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.4954,                 2.1664,                 1.6587,                0.65019,                 0.3128,                 0.3358,                0.23371,                  2.554,                 2.2029,                 2.5627,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.5023,                 2.2026,                 1.6749,                0.70484,                0.29903,                0.30342,                0.20948,                 2.6091,                 2.2332,                 2.6042,             0.00086312,             0.00086312,             0.00086312
                     42,                  1.516,                 2.2251,                 1.6737,                0.76105,                 0.2971,                0.32798,                0.22617,                 2.5832,                  2.149,                 2.6214,             0.00084897,             0.00084897,             0.00084897
                     43,                  1.498,                 2.1779,                 1.6682,                0.74012,                0.30062,                0.33234,                0.20936,                 2.6384,                 2.1534,                 2.5689,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.4695,                 2.1381,                 1.6426,                0.67783,                0.31371,                0.33151,                0.23444,                 2.5576,                 2.2058,                 2.5664,             0.00082067,             0.00082067,             0.00082067
                     45,                  1.472,                 2.1422,                 1.6515,                 0.6106,                0.32374,                0.31129,                0.21503,                 2.5368,                 2.4647,                 2.5684,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.4745,                 2.1254,                 1.6481,                0.82998,                  0.309,                0.33892,                0.23134,                 2.6265,                 2.1071,                 2.6584,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.4777,                 2.1227,                 1.6406,                0.69643,                0.31392,                0.31112,                0.21182,                 2.5764,                  2.358,                 2.5984,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.4515,                 2.0704,                  1.628,                0.76021,                0.31176,                0.34096,                0.23924,                 2.5734,                 2.1006,                 2.5709,             0.00076409,             0.00076409,             0.00076409
