                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8493,                 2.1456,                 1.8927,                0.82212,                0.48991,                0.57439,                0.36052,                 1.8055,                 2.0304,                 1.8332,             0.00028077,             0.00028077,             0.00028077
                     35,                 1.8387,                 2.1663,                 1.8911,                0.83472,                0.49202,                 0.5736,                0.36716,                 1.8834,                 2.0705,                 1.8852,             0.00027664,             0.00027664,             0.00027664
                     36,                  1.802,                 2.0662,                 1.8459,                0.85244,                0.48363,                0.60851,                 0.3894,                 1.7421,                 1.8667,                 1.7658,             0.00027251,             0.00027251,             0.00027251
                     37,                 1.8622,                 2.1597,                 1.8982,                0.86542,                0.43302,                0.51421,                0.33565,                 1.9898,                 2.1966,                 1.9826,             0.00026838,             0.00026838,             0.00026838
                     38,                 1.7848,                 2.0578,                 1.8336,                0.81966,                0.49246,                0.57356,                0.37096,                 1.8845,                 2.0289,                 1.8878,             0.00026425,             0.00026425,             0.00026425
                     39,                 1.8028,                 2.0861,                 1.8405,                0.84454,                0.54524,                0.63215,                0.39561,                 1.8745,                 1.9308,                 1.8814,             0.00026012,             0.00026012,             0.00026012
                     40,                 1.8044,                 2.1014,                 1.8637,                0.85157,                0.48409,                0.56274,                0.35672,                 1.8751,                 2.1086,                 1.9048,               0.000256,               0.000256,               0.000256
                     41,                 1.7465,                 1.9937,                 1.7967,                 0.8053,                0.53334,                0.63036,                0.39925,                 1.7957,                 1.8373,                 1.8344,             0.00025187,             0.00025187,             0.00025187
                     42,                 1.7795,                 2.0548,                 1.8357,                0.86326,                0.45431,                0.51137,                0.33132,                  2.069,                 2.2803,                  2.049,             0.00024774,             0.00024774,             0.00024774
                     43,                 1.7571,                 2.0307,                 1.8162,                0.80578,                0.46251,                0.53865,                0.35249,                 1.9592,                 2.1617,                 1.9826,             0.00024361,             0.00024361,             0.00024361
                     44,                 1.7893,                 2.1051,                 1.8569,                0.86723,                0.46311,                 0.5485,                0.35941,                 1.9098,                  2.051,                  1.934,             0.00023948,             0.00023948,             0.00023948
                     45,                 1.7614,                  2.012,                 1.8009,                0.86653,                0.48615,                 0.5655,                0.37003,                 1.9764,                 2.1238,                 1.9562,             0.00023535,             0.00023535,             0.00023535
                     46,                 1.7221,                 1.9449,                 1.7724,                0.88906,                  0.449,                 0.5183,                0.34724,                 2.0051,                 2.2361,                 2.0338,             0.00023123,             0.00023123,             0.00023123
                     47,                 1.7057,                 1.9239,                 1.7481,                0.83347,                 0.4901,                0.55591,                0.36397,                 1.9646,                 2.0707,                 1.9433,              0.0002271,              0.0002271,              0.0002271
                     48,                 1.6866,                 1.9016,                 1.7515,                0.87979,                0.49176,                 0.5724,                0.38028,                  1.986,                 2.0701,                 1.9934,             0.00022297,             0.00022297,             0.00022297
                     49,                 1.6853,                  1.929,                 1.7579,                 0.8136,                0.51103,                0.58903,                  0.383,                 1.8979,                 1.9689,                 1.9024,             0.00021884,             0.00021884,             0.00021884
                     50,                 1.6859,                 1.8929,                 1.7423,                0.84792,                0.52188,                0.60546,                0.39475,                 1.9643,                 1.9553,                 1.9686,             0.00021471,             0.00021471,             0.00021471
                     51,                 1.7255,                  1.925,                 1.7687,                 0.8438,                 0.4915,                0.56724,                0.38416,                 1.9844,                 2.0618,                 2.0097,             0.00021059,             0.00021059,             0.00021059
                     52,                 1.6925,                 1.8903,                 1.7637,                 0.8637,                0.48505,                0.55783,                0.38033,                 2.0357,                 2.1184,                 2.0489,             0.00020646,             0.00020646,             0.00020646
                     53,                 1.6956,                 1.9526,                 1.7879,                0.84804,                0.51269,                0.58906,                0.38639,                 1.9146,                 2.0081,                 1.9377,             0.00020233,             0.00020233,             0.00020233
                     54,                 1.6424,                 1.8386,                 1.7152,                0.88364,                0.44905,                0.52527,                 0.3566,                 2.0411,                 2.1723,                 2.0412,              0.0001982,              0.0001982,              0.0001982
                     55,                 1.6709,                 1.9053,                 1.7346,                0.88685,                0.48052,                0.55041,                0.37452,                 2.0508,                 2.1846,                 2.0707,             0.00019407,             0.00019407,             0.00019407
                     56,                 1.6632,                 1.9051,                 1.7323,                0.87109,                0.49668,                0.56653,                0.37521,                 1.9899,                 2.0498,                 2.0038,             0.00018994,             0.00018994,             0.00018994
