                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9141,                 1.9472,                  1.654,                0.85287,                0.34904,                0.43645,                0.29676,                 1.6949,                 1.7822,                 1.6238,             0.00096215,             0.00096215,             0.00096215
                     35,                  1.948,                 2.0301,                 1.6854,                 0.7914,                0.33725,                0.42494,                0.28781,                 1.6579,                 1.8001,                 1.5957,               0.000948,               0.000948,               0.000948
                     36,                  1.898,                 1.9506,                 1.6373,                0.76734,                0.34883,                0.43752,                0.29208,                 1.7154,                 1.8138,                   1.62,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.8604,                 1.9004,                 1.6274,                0.78925,                0.37479,                0.46253,                0.31422,                 1.6778,                 1.7173,                 1.5994,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.9374,                 1.9646,                 1.6582,                0.79662,                0.36297,                0.45268,                0.26136,                 1.7956,                 1.8291,                 1.6412,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.9454,                  1.965,                 1.6613,                0.81944,                0.37476,                0.47368,                0.31732,                 1.6098,                 1.7323,                 1.5743,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.8765,                 1.9187,                 1.6414,                0.80349,                0.37372,                0.47932,                0.32397,                 1.5838,                 1.6772,                 1.5405,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.7995,                 1.8692,                  1.604,                0.84887,                0.36252,                0.47592,                0.31914,                 1.5917,                  1.676,                 1.5457,             0.00086312,             0.00086312,             0.00086312
                     42,                  1.891,                 1.9332,                  1.643,                0.81775,                0.39251,                0.49729,                 0.3323,                  1.622,                 1.6619,                 1.5608,             0.00084897,             0.00084897,             0.00084897
                     43,                  1.836,                 1.8752,                 1.6128,                0.83678,                0.37484,                0.49648,                0.33695,                 1.5613,                 1.6564,                 1.5231,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.8432,                 1.8659,                 1.5979,                0.81055,                0.39872,                 0.5009,                 0.3357,                 1.6105,                 1.6764,                 1.5483,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.8042,                 1.8422,                 1.5922,                0.79815,                0.42015,                0.51555,                0.33841,                 1.5683,                 1.6745,                 1.5167,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.8089,                   1.86,                 1.6018,                0.80889,                0.40628,                0.51534,                0.35017,                 1.6178,                 1.6154,                 1.5627,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.8198,                 1.8572,                 1.6074,                0.82107,                0.42021,                0.52932,                0.34118,                 1.6106,                 1.6296,                 1.5419,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.7773,                 1.7991,                 1.5783,                0.79805,                0.43568,                0.54794,                0.35672,                 1.6233,                 1.6002,                 1.5511,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.7357,                 1.7971,                 1.5689,                0.83551,                0.42219,                0.53232,                0.34953,                 1.6006,                  1.548,                  1.506,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.7523,                 1.7776,                  1.557,                0.81432,                0.43859,                0.55367,                0.37018,                 1.5331,                 1.5536,                 1.4982,             0.00073579,             0.00073579,             0.00073579
                     51,                  1.764,                 1.7929,                 1.5781,                0.82916,                0.44202,                0.56013,                0.37516,                  1.506,                 1.5382,                 1.4742,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.7038,                 1.7045,                 1.5103,                0.82748,                0.44585,                0.56663,                0.38079,                 1.4596,                 1.5332,                 1.4477,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.7451,                 1.7872,                  1.565,                0.83867,                0.44172,                0.56019,                0.37949,                 1.5104,                 1.4999,                 1.4649,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.7389,                 1.7527,                 1.5582,                0.85507,                0.46976,                0.59209,                0.40093,                  1.428,                 1.4655,                 1.4292,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.7198,                 1.7388,                 1.5347,                0.81737,                 0.4885,                0.60856,                0.39959,                 1.4569,                 1.4389,                 1.4363,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.6958,                  1.683,                  1.513,                0.79573,                0.48958,                0.60241,                0.40667,                 1.4421,                 1.4465,                  1.424,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.6667,                  1.657,                 1.5127,                0.82747,                0.48969,                0.60259,                0.40101,                 1.4339,                 1.4884,                 1.4237,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.6569,                 1.6346,                 1.4916,                0.83825,                0.49644,                0.61226,                 0.4093,                 1.4433,                 1.4466,                 1.4295,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.6534,                 1.6397,                 1.4954,                0.83456,                0.49161,                0.61688,                0.41179,                 1.4628,                 1.4232,                 1.4419,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.6785,                 1.6759,                 1.5155,                0.82192,                0.51169,                0.62423,                0.41984,                 1.4194,                  1.424,                 1.4157,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.6807,                 1.6536,                 1.4971,                0.83814,                0.49764,                0.62647,                0.42264,                 1.3955,                 1.4042,                 1.3945,             0.00058017,             0.00058017,             0.00058017
