                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9507,                 1.9191,                 1.6599,                0.82184,                0.52721,                0.61843,                0.39835,                 1.8112,                 1.6414,                 1.5653,             0.00028077,             0.00028077,             0.00028077
                     35,                  1.876,                 1.7566,                 1.5884,                0.84361,                0.51789,                 0.6036,                0.38693,                 1.9337,                 1.7084,                 1.6726,             0.00027664,             0.00027664,             0.00027664
                     36,                 1.9241,                 1.8147,                 1.6234,                0.91209,                0.48419,                0.56266,                0.36475,                 1.9013,                 1.7907,                 1.6353,             0.00027251,             0.00027251,             0.00027251
                     37,                 1.9064,                 1.7448,                 1.5857,                 0.8215,                0.51379,                0.59632,                0.37477,                 1.8968,                 1.7167,                 1.5956,             0.00026838,             0.00026838,             0.00026838
                     38,                 1.8775,                 1.7401,                 1.5848,                0.87654,                0.49963,                0.60724,                 0.3876,                 1.8874,                 1.6626,                 1.6239,             0.00026425,             0.00026425,             0.00026425
                     39,                 1.8984,                 1.7903,                 1.6258,                0.85882,                 0.4967,                0.56411,                 0.3739,                 1.9219,                 1.8342,                 1.6513,             0.00026012,             0.00026012,             0.00026012
                     40,                 1.8545,                 1.7414,                 1.5731,                0.83991,                0.49518,                0.57283,                0.38724,                 1.9967,                 1.7522,                 1.7109,               0.000256,               0.000256,               0.000256
                     41,                 1.8806,                  1.771,                 1.5996,                0.86071,                 0.4994,                0.56444,                0.36418,                 2.0184,                 1.8114,                 1.7297,             0.00025187,             0.00025187,             0.00025187
                     42,                 1.8419,                 1.6865,                 1.5599,                0.84262,                0.52266,                0.62085,                0.40723,                 1.8519,                 1.6319,                 1.6014,             0.00024774,             0.00024774,             0.00024774
                     43,                 1.8175,                 1.6733,                 1.5486,                 0.8829,                0.49912,                0.57724,                0.38659,                 1.9597,                 1.7259,                  1.679,             0.00024361,             0.00024361,             0.00024361
                     44,                 1.8812,                 1.7221,                 1.5815,                0.89751,                0.50298,                0.57008,                0.38084,                 1.9871,                 1.7657,                 1.7045,             0.00023948,             0.00023948,             0.00023948
                     45,                 1.8183,                 1.6791,                 1.5455,                0.86805,                 0.5284,                0.61541,                0.40245,                  1.891,                 1.6769,                 1.6236,             0.00023535,             0.00023535,             0.00023535
                     46,                 1.8709,                 1.7475,                 1.5926,                0.90206,                0.50141,                0.59497,                0.37983,                 1.9476,                 1.6982,                  1.682,             0.00023123,             0.00023123,             0.00023123
                     47,                 1.8366,                 1.7354,                  1.589,                0.86718,                0.51116,                0.57445,                0.37674,                 2.0191,                 1.7377,                 1.7415,              0.0002271,              0.0002271,              0.0002271
                     48,                 1.8003,                 1.6459,                 1.5392,                0.81465,                0.52107,                0.58477,                0.38575,                  1.938,                 1.6928,                 1.6491,             0.00022297,             0.00022297,             0.00022297
                     49,                  1.864,                 1.7509,                 1.5808,                0.87434,                0.49097,                0.56118,                0.37283,                 1.9714,                 1.7824,                 1.7081,             0.00021884,             0.00021884,             0.00021884
                     50,                 1.8014,                 1.6493,                  1.552,                0.85954,                0.51298,                0.59003,                0.38655,                 1.9202,                 1.6855,                 1.6508,             0.00021471,             0.00021471,             0.00021471
                     51,                 1.7782,                 1.6567,                 1.5296,                0.88627,                0.50435,                0.57795,                0.38376,                 1.9459,                 1.7616,                 1.6761,             0.00021059,             0.00021059,             0.00021059
                     52,                 1.8114,                 1.6642,                 1.5306,                0.88342,                0.50612,                0.57533,                0.38557,                 1.9224,                  1.715,                 1.6666,             0.00020646,             0.00020646,             0.00020646
                     53,                 1.7914,                 1.6139,                 1.5114,                0.89287,                0.51073,                0.58215,                0.39451,                 1.9371,                 1.6994,                 1.6808,             0.00020233,             0.00020233,             0.00020233
                     54,                 1.7631,                 1.5815,                 1.5029,                0.89115,                0.50592,                0.57719,                0.38276,                 1.9642,                 1.7298,                 1.7137,              0.0001982,              0.0001982,              0.0001982
                     55,                 1.7216,                 1.5419,                  1.471,                  0.847,                 0.5272,                0.59667,                 0.3926,                 1.9262,                  1.667,                  1.665,             0.00019407,             0.00019407,             0.00019407
                     56,                 1.7508,                 1.5818,                 1.5091,                 0.8911,                0.50664,                0.58583,                0.39156,                 1.8846,                 1.6681,                 1.6211,             0.00018994,             0.00018994,             0.00018994
                     57,                 1.7101,                 1.5276,                 1.4806,                0.87941,                0.52015,                0.59658,                0.40115,                 1.9083,                 1.6414,                 1.6538,             0.00018582,             0.00018582,             0.00018582
                     58,                 1.7095,                  1.513,                 1.4617,                0.87004,                0.52662,                0.59843,                 0.3969,                 1.8731,                 1.6273,                 1.6341,             0.00018169,             0.00018169,             0.00018169
                     59,                 1.7074,                  1.533,                 1.4832,                 0.8969,                0.50518,                0.56915,                0.38785,                 1.9948,                  1.749,                 1.7481,             0.00017756,             0.00017756,             0.00017756
                     60,                 1.6993,                 1.5113,                 1.4723,                0.86675,                0.52517,                0.60331,                0.39601,                 1.9239,                 1.6531,                 1.6765,             0.00017343,             0.00017343,             0.00017343
                     61,                 1.7163,                 1.5393,                 1.4759,                0.88485,                0.48916,                0.55926,                0.38439,                 2.0043,                 1.7546,                 1.7551,              0.0001693,              0.0001693,              0.0001693
                     62,                 1.7052,                 1.5572,                 1.4818,                0.91213,                 0.5054,                0.57786,                0.39225,                 1.9509,                 1.6967,                 1.7106,             0.00016517,             0.00016517,             0.00016517
                     63,                 1.7149,                 1.5351,                 1.4784,                0.89051,                 0.4973,                0.56676,                0.38839,                 1.9909,                 1.7423,                 1.7471,             0.00016105,             0.00016105,             0.00016105
                     64,                 1.6866,                 1.4925,                 1.4527,                0.88622,                0.51228,                0.57686,                0.40161,                 1.9482,                 1.7132,                 1.6962,             0.00015692,             0.00015692,             0.00015692
                     65,                 1.6975,                 1.5326,                 1.4748,                0.86821,                0.51301,                0.56447,                0.38824,                  1.974,                 1.7596,                 1.7267,             0.00015279,             0.00015279,             0.00015279
                     66,                 1.6688,                 1.5133,                   1.47,                0.84421,                0.51786,                0.57384,                0.39045,                  1.946,                 1.7339,                  1.709,             0.00014866,             0.00014866,             0.00014866
                     67,                 1.6745,                 1.5331,                 1.4812,                0.87324,                0.51801,                0.58119,                0.39006,                  1.923,                 1.7004,                 1.6821,             0.00014453,             0.00014453,             0.00014453
                     68,                 1.6463,                 1.4923,                 1.4531,                 0.8581,                0.51815,                0.57562,                0.39897,                 1.9731,                  1.729,                  1.721,              0.0001404,              0.0001404,              0.0001404
                     69,                 1.6751,                 1.4983,                  1.481,                0.87407,                0.51742,                0.58467,                0.39611,                 1.9072,                 1.6666,                 1.6626,             0.00013628,             0.00013628,             0.00013628
                     70,                 1.6771,                 1.4781,                 1.4503,                0.86938,                0.51201,                0.56632,                0.38833,                 1.9552,                 1.7357,                 1.7094,             0.00013215,             0.00013215,             0.00013215
                     71,                 1.6237,                 1.4106,                 1.4101,                0.86676,                0.53908,                0.61101,                0.41294,                 1.9037,                 1.6043,                 1.6602,             0.00012802,             0.00012802,             0.00012802
                     72,                 1.6446,                 1.4839,                  1.447,                0.86703,                0.51591,                0.57252,                0.38267,                 1.9374,                 1.7233,                 1.6904,             0.00012389,             0.00012389,             0.00012389
                     73,                 1.6613,                 1.5004,                 1.4591,                0.93086,                0.49105,                0.56669,                0.39279,                 1.9822,                 1.7607,                 1.7445,             0.00011976,             0.00011976,             0.00011976
                     74,                 1.6124,                  1.468,                 1.4412,                0.89741,                0.50456,                  0.571,                0.39759,                 1.9531,                 1.7337,                 1.7149,             0.00011563,             0.00011563,             0.00011563
                     75,                 1.6404,                 1.4925,                 1.4605,                0.87147,                0.51208,                0.57141,                0.39693,                 1.9752,                 1.7386,                 1.7462,             0.00011151,             0.00011151,             0.00011151
